# exit
#x y z t Bx By Bz Ex Ey Ez
0 0 344 0 -1.0558e-21 0.0530657 0.000234138 0 0 0 
0 0 345 0 -8.79836e-22 0.0536943 0.000229434 0 0 0 
0 0 346 0 -7.03869e-22 0.054323 0.00022473 0 0 0 
0 0 347 0 -5.27902e-22 0.0549517 0.000220025 0 0 0 
0 0 348 0 -3.51935e-22 0.0555804 0.000215321 0 0 0 
0 0 349 0 -1.75967e-22 0.056209 0.000210617 0 0 0 
0 0 350 0 -1.0018e-38 0.0568377 0.000205913 0 0 0 
0 0 351 0 -9.01609e-39 0.0575023 0.000212064 0 0 0 
0 0 352 0 -8.01456e-39 0.0581668 0.000218216 0 0 0 
0 0 353 0 -7.01264e-39 0.0588313 0.000224367 0 0 0 
0 0 354 0 -6.01073e-39 0.0594959 0.000230519 0 0 0 
0 0 355 0 -5.00881e-39 0.0601604 0.000236671 0 0 0 
0 0 356 0 -4.00728e-39 0.060825 0.000242822 0 0 0 
0 0 357 0 -3.00536e-39 0.0614895 0.000248974 0 0 0 
0 0 358 0 -2.00345e-39 0.0621541 0.000255125 0 0 0 
0 0 359 0 -1.00192e-39 0.0628186 0.000261277 0 0 0 
0 0 360 0 0 0.0634831 0.000267429 0 0 0 
0 0 361 0 -2.67605e-22 0.0641986 0.000267552 0 0 0 
0 0 362 0 -5.3521e-22 0.0649141 0.000267676 0 0 0 
0 0 363 0 -8.02815e-22 0.0656295 0.0002678 0 0 0 
0 0 364 0 -1.07042e-21 0.066345 0.000267924 0 0 0 
0 0 365 0 -1.33803e-21 0.0670605 0.000268048 0 0 0 
0 0 366 0 -1.60563e-21 0.0677759 0.000268172 0 0 0 
0 0 367 0 -1.87324e-21 0.0684914 0.000268296 0 0 0 
0 0 368 0 -2.14084e-21 0.0692069 0.00026842 0 0 0 
0 0 369 0 -2.40845e-21 0.0699223 0.000268544 0 0 0 
0 0 370 0 -2.67605e-21 0.0706378 0.000268667 0 0 0 
0 0 371 0 -2.40845e-21 0.0714216 0.000271547 0 0 0 
0 0 372 0 -2.14084e-21 0.0722054 0.000274428 0 0 0 
0 0 373 0 -1.87324e-21 0.0729892 0.000277308 0 0 0 
0 0 374 0 -1.60563e-21 0.073773 0.000280188 0 0 0 
0 0 375 0 -1.33803e-21 0.0745568 0.000283068 0 0 0 
0 0 376 0 -1.07042e-21 0.0753406 0.000285948 0 0 0 
0 0 377 0 -8.02815e-22 0.0761244 0.000288828 0 0 0 
0 0 378 0 -5.3521e-22 0.0769082 0.000291708 0 0 0 
0 0 379 0 -2.67605e-22 0.077692 0.000294588 0 0 0 
